Iteration: 100 || Loss: 4.1604 || 4.0982 sec. || Acc：0.5104166666666666
Iteration: 200 || Loss: 3.8937 || 3.9926 sec. || Acc：0.5520833333333334
Iteration: 300 || Loss: 3.4436 || 3.9561 sec. || Acc：0.6041666666666666
Iteration: 400 || Loss: 3.4790 || 4.2609 sec. || Acc：0.5520833333333334
Iteration: 500 || Loss: 3.4226 || 4.2699 sec. || Acc：0.5520833333333334
Iteration: 600 || Loss: 2.7925 || 4.2617 sec. || Acc：0.65625
Iteration: 700 || Loss: 2.8758 || 4.3899 sec. || Acc：0.6354166666666666
Iteration: 800 || Loss: 2.8241 || 4.7193 sec. || Acc：0.6458333333333334
Iteration: 900 || Loss: 2.4991 || 4.8231 sec. || Acc：0.7083333333333334
Iteration: 1000 || Loss: 2.7830 || 4.9300 sec. || Acc：0.6875
Iteration: 1100 || Loss: 1.7714 || 5.0848 sec. || Acc：0.8333333333333334
Iteration: 1200 || Loss: 2.3752 || 5.1717 sec. || Acc：0.71875
Iteration: 1300 || Loss: 2.1255 || 5.3031 sec. || Acc：0.8020833333333334
Iteration: 1400 || Loss: 2.1514 || 5.3991 sec. || Acc：0.7395833333333334
Iteration: 1500 || Loss: 1.7231 || 5.3827 sec. || Acc：0.8229166666666666
Iteration: 1600 || Loss: 1.5037 || 5.4371 sec. || Acc：0.84375
Iteration: 1700 || Loss: 2.2790 || 6.5313 sec. || Acc：0.7291666666666666
Iteration: 1800 || Loss: 1.6617 || 6.0418 sec. || Acc：0.7708333333333334
Iteration: 1900 || Loss: 1.1832 || 6.0815 sec. || Acc：0.8645833333333334
Iteration: 2000 || Loss: 1.3266 || 5.9660 sec. || Acc：0.8229166666666666
Iteration: 2100 || Loss: 1.3058 || 6.5808 sec. || Acc：0.8229166666666666
Iteration: 2200 || Loss: 1.4330 || 6.1578 sec. || Acc：0.8333333333333334
Iteration: 2300 || Loss: 1.0831 || 6.3801 sec. || Acc：0.8333333333333334
Iteration: 2400 || Loss: 1.3209 || 6.2017 sec. || Acc：0.8854166666666666
Iteration: 2500 || Loss: 1.1659 || 6.1843 sec. || Acc：0.90625
Epoch 1/10 | train |  Loss: 2.3337 Acc: 0.4138
Epoch 1/10 |  val  |  Loss: 1.0734 Acc: 0.7325
Iteration: 100 || Loss: 1.6375 || 6.0692 sec. || Acc：0.84375
